mlb_name,mlb_id
A Alexy.J.,669935
A Ladwig.J.,607609
A.J. Minter,621345
A.J. Puk,640462
Aaron Ashby,676879
Aaron Brooks,605156
Aaron Bummer,607481
Aaron Civale,650644
Aaron Fletcher,667465
Aaron Loup,571901
Aaron Nola,605400
Aaron Sanchez,592717
Adam Cimber,643256
Adam Kolarek,592473
Adam Oller,670124
Adam Ottavino,493603
Adam Wainwright,425794
Adonis Medina,658431
Adrian Houser,605288
Adrian Martinez,661309
Adrian Morejon,670970
Adrian Sampson,592716
Albert Abreu,656061
Albert Pujols,405395
Alcides Escobar,444876
Alec Mills,621219
Alejo Lopez,664670
Alek Manoah,666201
Alex Cobb,502171
Alex Colome,517008
Alex Faedo,656412
Alex Lange,656638
Alex Vesia,681911
Alex Wood,622072
Alex Young,622065
Alexander Wells,649144
Alexis Diaz,664747
Amir Garrett,607237
Anderson Espinoza,659262
Anderson Severino,644429
Andre Pallante,669467
Andrelton Simmons,592743
Andres Machado,600921
Andres Munoz,662253
Andrew Bellatti,571479
Andrew Chafin,605177
Andrew Heaney,571760
Andrew Kittredge,552640
Andrew Nardi,677053
Andrew Vasquez,607755
Andrew Wantz,681806
Aneurys Zabala,656008
Angel Rondon,667373
Angel Zerpa,672582
Anibal Sanchez,434671
Anthony Banda,607455
Anthony Bass,542914
Anthony Bender,669622
Anthony Castro,621593
Anthony DeSclafani,543101
Anthony Gose,543238
Anthony Kay,641743
Anthony Misiewicz,664948
Antonio Senzatela,622608
Archie Bradley,605151
Arodys Vizcaino,527055
Aroldis Chapman,547973
Art Warren,605521
Ashton Goudeau,623485
Austin Adams,613534
Austin Brice,592169
Austin Davis,656354
Austin Gomber,596295
Austin Pruitt,643493
Austin Voth,608723
Austin Warren,681810
Austin Wynns,642851
Bailey Falter,663559
Bailey Ober,641927
Beau Brieske,689225
Beau Sulser,676641
Bennett Sousa,656986
Blake Snell,605483
Blake Taylor,642130
Blake Treinen,595014
Bowden Francis,670102
Brad Boxberger,502202
Brad Hand,543272
Brad Keller,641745
Brady Singer,663903
Brandon Bielak,656232
Brandon Hughes,676714
Brandon Woodruff,605540
Braxton Garrett,666129
Brayan Bello,678394
Brennan Bernardino,657514
Brent Suter,608718
Brett Martin,656685
Brett Phillips,621433
Brian Moran,572383
Brian Serven,661531
Brock Burke,656271
Brooks Raley,548384
Bruce Zimmermann,669145
Brusdar Graterol,660813
Bryan Abreu,650556
Bryan Baker,641329
Bryan Garcia,650530
Bryan Shaw,543766
Bryce Elder,693821
Bryse Wilson,669060
Bubby Rossman,657745
Buck Farmer,571656
Cal Quantrill,615698
Caleb Ferguson,657571
Caleb Kilian,668873
Caleb Smith,592761
Caleb Thielbar,573204
Calvin Faucher,676534
Cam Alldred,682027
Cam Vieaux,664944
Camilo Doval,666808
Carl Edwards Jr.,605218
Carlos Carrasco,471911
Carlos Estevez,608032
Carlos Hernandez,672578
Carlos Rodon,607074
Carson Kelly,608348
Casey Lawrence,596271
Casey Mize,663554
Cesar Valdez,491624
Chad Green,643338
Chad Kuhl,641771
Chad Pinder,640461
Chad Smith,663385
Charlie Culberson,518586
Charlie Morton,450203
Chase De Jong,608328
Chase Silseth,681217
Chasen Shreve,592741
Chi Chi Gonzalez,592346
Chris Archer,502042
Chris Bassitt,605135
Chris Devenski,606965
Chris Ellis,595939
Chris Flexen,623167
Chris Martin,455119
Chris Mazza,607391
Chris Owings,572008
Chris Paddack,663978
Chris Sale,519242
Chris Stratton,608717
Christian Bethancourt,542194
Cionel Perez,672335
Clarke Schmidt,657376
Clay Holmes,605280
Clayton Kershaw,477132
Cody Poteet,547001
Cody Sedlock,642060
Cody Stashak,664054
Cole Irvin,608344
Cole Ragans,666142
Cole Sands,663485
Cole Sulser,642121
Colin Holderman,670059
Colin Poche,621363
Collin McHugh,543521
Collin Snider,676092
Conner Menez,669214
Connor Brogdon,641401
Connor Overton,656818
Connor Sadzeck,592712
Connor Seabold,657756
Corbin Burnes,669203
Corbin Martin,656686
Corey Kluber,446372
Corey Knebel,608349
Cory Abbott,676265
Craig Kimbrel,518886
Craig Stammen,489334
Cristian Javier,664299
Cristofer Ogando,642657
Cristopher Sanchez,650911
Dakota Hudson,641712
Dallas Keuchel,572971
Damon Jones,676103
Dane Dunning,641540
Daniel Bard,453268
Daniel Castano,641447
Daniel Duarte,650960
Daniel Hudson,543339
Daniel Lynch,663738
Daniel Mengden,596043
Daniel Norris,596057
Danny Coulombe,543056
Danny Young,664849
Dany Jimenez,666204
Darin Ruf,573131
Darren O'Day,503285
Darwinzon Hernandez,650382
Daulton Jefferies,641726
Dauri Moreta,664294
David Bednar,670280
David McKay,641853
David Peterson,656849
David Phelps,475479
David Price,456034
David Robertson,502085
Davis Martin,663436
De Angel Jesus,669804
De Los Yerry Santos,660787
Dean Kremer,665152
Dee Gordon,543829
Dennis Santana,642701
Denyi Reyes,660593
Dereck Rodriguez,605446
Derek Law,571882
Devin Smeltzer,656970
Devin Williams,642207
Diego Castillo,650895
Diego Castillo,660636
Dillon Peters,596071
Dillon Tate,622253
Dinelson Lamet,659275
DL Hall,669084
Domingo Acevedo,642758
Domingo German,593334
Domingo Tapia,593619
Dominic Leone,608678
Donovan Walton,622268
Drew Carlton,656290
Drew Hutchison,571800
Drew Rasmussen,656876
Drew Smith,622098
Drew Smyly,592767
Drew Steckenrider,608716
Drew VerHagen,572403
Duane Underwood Jr.,621249
Dusten Knight,643400
Dylan Bundy,605164
Dylan Cease,656302
Dylan Coleman,669395
Dylan Floro,571670
Dylan Lee,669276
Eduardo Rodriguez,593958
Edward Cabrera,665795
Edwin Diaz,621242
Edwin Uceta,670955
Ehire Adrianza,501303
Eli Morgan,669212
Elieser Hernandez,622694
Elvin Rodriguez,660730
Elvis Peguero,665625
Emilio Pagan,641941
Emmanuel Clase,661403
Enoli Paredes,660600
Enyel De Los Santos,660853
Erasmo Ramirez,541640
Eric Lauer,641778
Eric Stout,657770
Erich Uelmen,657272
Erick Fedde,607200
Erik Swanson,657024
Ernie Clement,676391
Ethan Roberts,681799
Ethan Small,663629
Evan Lee,681885
Evan Phillips,623465
Felix Bautista,642585
Foster Griffin,656492
Framber Valdez,664285
Francisco Morales,672839
Francisco Perez,660906
Frank Schwindel,643524
Frankie Montas,593423
Freddy Peralta,642547
Freddy Tarnok,676206
Gabe Speier,642100
Garrett Cleavinger,664076
Garrett Hill,682051
Garrett Richards,572070
Garrett Stubbs,596117
Garrett Whitlock,676477
Genesis Cabrera,650893
George Kirby,669923
German Marquez,608566
Gerrit Cole,543037
Giovanny Gallegos,606149
Glenn Otto,657248
Graham Ashcraft,668933
Greg Holland,518813
Gregory Santos,666619
Gregory Soto,642397
Hansel Robles,570663
Hanser Alberto,593643
Harold Castro,605612
Heath Hembree,592390
Hector Neris,593576
Hirokazu Sawamura,617228
Hoby Milner,571948
Huascar Brazoban,623211
Huascar Ynoa,660623
Humberto Castellanos,528748
Hunter Gaddis,683769
Hunter Greene,668881
Hunter Harvey,640451
Hunter Strickland,519326
Hyun Jin Ryu,547943
Ian Anderson,666120
Ian Gibaut,664139
Ian Hamilton,641656
Ian Kennedy,453178
J.B. Wendelken,605525
Jack Flaherty,656427
Jack Mayfield,608686
Jackie Bradley Jr.,598265
Jackson Kowar,663804
Jackson Stephens,623451
Jackson Tetreault,676194
Jacob Barnes,606930
Jacob deGrom,594798
Jacob Lemoine,621082
Jaime Barria,642545
Jake Bird,656234
Jake Brentz,641394
Jake Cousins,664776
Jake Diekman,518617
Jake Fishman,670288
Jake Hager,606993
Jake McGee,459429
Jake Odorizzi,543606
Jake Reed,596082
Jake Walsh,673904
Jake Woodford,663765
Jakob Junis,596001
Jalen Beeks,656222
James Kaprielian,621076
James Karinchak,675916
James Naile,664942
James Norwood,656803
Jameson Taillon,592791
Jandel Gustave,594311
Janson Junk,676083
Jared Koenig,657649
Jared Solomon,676660
Jarlin Garcia,606424
Jason Adam,592094
Jason Alexander,669920
Jason Foley,671345
Javy Guerra,642770
Jax Griffin,643377
Jean Carlos Mejia,650496
Jeff Brigham,656257
Jeff Hoffman,656546
Jeffrey Springs,605488
Jerad Eickhoff,595191
Jeremy Beasley,676886
Jesse Chavez,445926
Jesús Cruz,672911
Jesus Luzardo,666200
Jesus Tinoco,622786
Jeurys Familia,544727
Jharel Cotton,605194
Jhoan Duran,661395
Jhon Romero,664584
Jhonathan Diaz,646242
Jhoulys Chacin,468504
Jimmy Herget,623474
Jimmy Lambert,669424
Jimmy Yacabonis,642231
Joan Adon,672851
Joe Barlow,669618
Joe Jimenez,641729
Joe Kelly,523260
Joe Mantiply,573009
Joe Musgrove,605397
Joe Ryan,657746
Joe Smith,501925
Joel Kuhnel,669270
Joel Payamps,606303
Joely Rodriguez,570257
Joey Krehbiel,607216
Joey Wentz,666214
Johan Oviedo,670912
John Brebbia,605154
John King,667463
John Means,607644
John Schreiber,670167
Johnny Cueto,456501
JoJo Romero,668941
Jon Gray,592351
Jon Heasley,669169
Jonathan Hernandez,642546
Jonathan Loaisiga,642528
Jonathon Feyereisen,656420
Jordan Hicks,663855
Jordan Holloway,656548
Jordan Lyles,543475
Jordan Montgomery,656756
Jordan Romano,605447
Jordan Sheffield,642068
Jordan Weems,607179
Jorge Alcala,660896
Jorge Lopez,605347
Jose Alvarado,621237
Jose Alvarez,501625
Jose Berrios,621244
Jose Cisnero,542585
Jose Cuas,621016
Jose Leclerc,600917
Jose Marte,665896
Jose Quijada,650671
Jose Quintana,500779
Jose Ruiz,614179
Jose Suarez,660761
Jose Urena,570632
Jose Urquidy,664353
Josh Fleming,676596
Josh Hader,623352
Josh Harrison,543281
Josh Rogers,642028
Josh Sborz,622250
Josh Staumont,622251
Josh VanMeter,642165
Josh Winckowski,670174
Josh Winder,680739
Josiah Gray,680686
Jovani Moran,663558
JP Sears,676664
JT Brubaker,664141
JT Chargois,608638
Juan Minaya,573668
Julian Merryweather,657240
Julio Urias,628711
Junior Fernandez,658551
Justin Bruihl,677865
Justin Dunn,643290
Justin Grimm,518748
Justin Lawrence,664875
Justin Steele,657006
Justin Verlander,434378
Justin Wilson,458677
Justus Sheffield,656954
Kaleb Ort,672391
Keegan Akin,669211
Keegan Thompson,624522
Ken Giles,571704
Kendall Graveman,608665
Kenley Jansen,445276
Kenny Rosenberg,670046
Kervin Castro,665645
Kevin Gausman,592332
Kevin Ginkel,656464
Kevin Plawecki,608700
Keynan Middleton,641871
Kirby Snead,669912
Kirby Yates,489446
Kirk McCarty,668948
Kodi Whitley,676831
Kody Clemens,665019
Kohei Arihara,685503
Kolby Allard,663465
Konnor Pilkington,663455
Kris Bubic,663460
